Seasons,Hours of Performance,Rating,House,Name,Size,Parfumo Rating,Notes,Accords,Genre,Silliage,Sprays,Perfumer,Comments
Hot,,0,Etat Libre D'Orange,The Ghost In The Shell,2,7.4,,synthetic-fresh,,?,,,
Hot,,0,Etat Libre D'Orange,You or Someone Like You,2,7.7,,green-fresh,,?,,Caroline Sabas,
Any,4,7,Ex Nihilo,Speed Legends,2,8,,fresh-citrusy,Fresh,1,8,Jordi Fernández,cant smell it 
Any,6,8,Fragrance One,Date,100,6.4,Citrus,sweet-fruity,Blue,?,,Alberto Morillas,Fruity fresh scent with great performance 
Any,8,9,Fragrance One,Office,100,7.3,Amber,fresh-citrusy,Fresh,?,,Alberto Morillas,
Hot,7,9,Fragrance World,Maison D'Arabie Marine Blue (LV City of Stars),100,8,,n/a,Fresh,?,,,Clean soapy 6 hours with 10 sprays
Any,3,8,French Avenue,Moonstone Bleu(Pentigans Sartorial),100,7.4,,fougèreartig,Fougere,?,,Carole Calmettes,
Hot,2,8,Giorgio Armani,Aqua De Gio Parfum ,1,8.2,Aromatic ,aquatic-fresh,Aquatic,?,,Alberto Morillas,Decent 
Cold,8,9,Giorgio Armani,Code Absolu ,210,8,Vanilla,sweet-spicy,Vanilla,?,,Antoine Maisondieu,
Cold,4,7,Giorgio Armani,Code EDP,10,8.2,Spice,sweet-spicy,Sweet,?,,,
Any,6,8,Giorgio Armani,Code Parfum ,10,7.8,Iris,fresh-sweet,Fresh,?,,Antoine Maisondieu,Not much powder. Heavy iris. 
Hot,6,8.75,Giorgio Armani,Profundo,10,7.6,,aquatic-fresh,Aquatic,4,3,Alberto Morillas,Strong projection best in the lineup
Hot,4,8,Giorgio Armani ,Aqua di Gio  Essenza,10,7.8,fresh spicy-aromatic-citrus-fresh-aquatic-woody-floral-amber-floral-green,fresh-aquatic,Aquatic,?,,Alberto Morillas,Jean-Paul Guerlain
Cold,4,9.5,Givenchy,Enflammed,25,8.3,Vanilla,spicy-sweet,Vanilla,1,,Amandine Clerc-Marie,"Bed time Powder, Tobacco,  Vanilla expensive and amazing"
Cold,8,9,Givenchy,Gentleman EDP,100,8.1,Spice ,powdery-sweet,Powder,?,,Olivier Cresp and Nathalie Lorson,limit sorays 12hr 5 max best projection and performance
Any,8,8.5,Givenchy,Gentleman EDT Intense ,10,7.9,Wood,powdery-spicy,Powder,2,,Nathalie Lorson and Olivier Cresp,Sharp first 2 hours then small scent bubble
Cold,1,4,Givenchy,Gentlemen EDP Boisee,10,7.9,Wood,woody-spicy,Vanilla,?,,Olivier Cresp,gone after 10 minutes
Cold,8,8.5,Givenchy,Gentlemen Reserve Privee,10,8.3,Wood,sweet-powdery,Powder,3,,Nathalie Lorson and Olivier Cresp,"Chocolate, nutty, faint whiskey 8 hr plus 3 hr silliage"
Any,1,6,Givenchy,Gentlemen Society,10,7.3,Aromatic,sweet-powdery,Powder,?,7,Karine Dubreuil-Sereni and Maïa Lernout,4 sprays and low performance decent scent
Cold,8,8.25,Givenchy,Gentlemen Society Ambree,100,7.8,Wood,sweet-spicy,Amber,2,5,Karine Dubreuil-Sereni & Takasago,"elegant sweetness 3 seasons  kind of flat, 2hr decent projection then skin scent for 8hr"
Any,8,8.5,Givenchy,Gentlemen Society Extreme,10,7.8,Wood,sweet-woody,Wood,?,6,Karine Dubreuil-Sereni,Great scent
Cold,6,7,Givenchy,PI,10,7.9,Vanilla,sweet-oriental,Vanilla,?,6,Alberto Morillas,Vanilla musk slightly femenine
Hot,0,1,Givenchy,Trouble-Fete,2,8.3,Green ,fresh-green,Fresh,0,,,Can't smell it
Cold,,7.25,Goldfield & Banks,Silky Woods Elixir,2,7.6,,woody-spicy,,,,Olivier Cresp,
Cold,3,6,Goldfield & Banks,Tales of Amber,10,7.9,Iris,woody-spicy,Amber,?,,Suzy Le Helley,
Cold,,0,Goldfield & Banks,Wood Infusion,2,7.2,,woody-spicy,,,,Hamid Merati-Kashani,
Hot,8,8,Gucci,Guilty Poor Homme EDP,1,7.7,Rose,floral-fresh,Floral,?,,Jacques Huclier,Very rose smelling
Cold,,0,Gucci,Oud- Intense,5,8.3,,woody-oriental,,,,Aurélien Guichard,
Hot,0,1,Guerlain,Apres L'Ondee,2,8.2,,floral-powdery,,0,12,Jacques Guerlain,nothing
Any,,7.5,Guerlain,Habit Rouge Parfum,2,8,,sweet-powdery,,,,Delphine Jelk,smells weird booze vanilla
Cold,,0,Guerlain,Habit Rougue EDP,10,8,,citrusy-powdery,,,,Jean-Paul Guerlain,
Cold,4,9,Guerlain,Héritage EDP,100,8.2,,spicy-woody,Fougere,6,3,Jean-Paul Guerlain,Rich and creamy barbershop
Cold,4,9,Guerlain,Heritage EDT,100,8.2,,spicy-woody,Fougere,6,3,Jean-Paul Guerlain,Less creamy and more spicy patchouli 
Hot,1,7,Guerlain,Jardin De L’Élysée,2,7.8,,fresh-floral,Fresh,1,6,Delphine Jelk,smells nice but can barely smell it
Hot,4,8.5,Guerlain,L'homme Ideal Cologne Forte EDP,5,8.4,,citrusy-fresh,Fresh,3,4,Delphine Jelk,sporty takes heat and motion 
Cold,4,8.75,Guerlain,L'homme Ideal EDP,10,8.4,,sweet-gourmand,Gourmond,2,,Thierry Wasser and Delphine Jelk,Very faint cherry and almond
Cold,,8,Guerlain,L'homme Ideal L'intense,10,8.1,,spicy-sweet,Gourmond,2,3,Thierry Wasser,the pepper does a nice job of balancing the almond and sweetness 
Any,,8,Guerlain,L'Homme Ideal Parfum EDP,2,8.4,,sweet-gourmond,Gourmond,,,Thierry Wasser and Delphine Jelk,
Cold,2,7,Guerlain,Le Parfum du 68,2,8.1,,spicy-sweet,,1,6,Thierry Wasser,No performance 
Cold,2,7.5,Guerlain,Patchouli Paris,10,7.9,,earthy-spicy,Patchouli,1,,Delphine Jelk,
Any,6,7.5,Guerlain,Vetiver Parfum,10,8.1,,green-woody,Green,?,,Delphine Jelk,Dark mysterious mature scent
Any,12,10,GymnTonic,Bone Daddy,50,?,"bergamot, lavender and ginger mixed with cardamom, sandalwood, rosewood, ivy, oakwood and neroli",Shower,Fresh,6,,,Perfect freshie stong as they come
Any,,8,GymnTonic,By,3,?,"fresh spicy. woody, lavender, aromatic, tobacco, leather, amber, powdery, herbal, warm spicy",,Fresh,1,,,nice and fresh but pretty weak
Any,,8,GymnTonic,Original,3,?,"spices and citruses in the top, which includes pepper and walnut, sandalwood, leather, Guaiac wood, and amber. We have united lavender and Artemisia",,Wood,?,,,
Any,,8.5,Gymntonic ,Cupid's Hypnosis,3,?,"Vanilla, Amber, Musk, Spice",Fougere ,Fougere,?,,,citrus fresh 
Any,8,9,Hermes,Terre D'Hermes EDT,100,8.1,,woody-earthy,Wood,4,,Jean-Claude Ellena,
Hot,1,7.5,Histories De Parfums,1725,10,7.6,,powdery-sweet,Fougere,0,,Sylvie Jourdet,
Any,6,9.5,Houbigant,Bois Mystique EDP,10,8,,woody-spicy,Wood,2,6,Luca Maffei,smells better than Creed Royal Oud but doesn't perform as good
Any,10,9.25,Houbigant,Duc de Vervins L'Extreme,130,8.1,,green-fougèreartig,Fougere,4,,,strong 
Hot,2,8,Houbigant ,Fougere Royale,100,8,,fougèreartig-fresh,Fougere,2,,Rodrigo Flores-Roux,Slightly brown but green. the smell of a fern
Cold,,8.5,House Of Mammoth,Fu Dao,50,4,,smoky-synthetic,,?,,Benjamin Esposito,
Any,,8.5,House Of Mammoth,Indigo,50,6.6,,synthetic-gourmand,,?,,Benjamin Esposito,
Cold,10,8.25,Hugo Boss,Bottled Absolu ,100,8.4,,spicy-sweet,Spice,4,,Annick Menardo and Suzy Le Helley,too sweet
Cold,8,8.25,Hugo Boss,Bottled Elixir,100,7.9,,spicy-woody,Spice,4,,Annick Menardo and Suzy Le Helley,
Cold,10,8,Initio,Blessed Barka,10,8.2,,sweet-woody,Wood,4,3,Alberto Morillas,Kkind of feminine
Hot,4,5,Initio,Musk Therapy,5,8.2,,creamy-fresh,Musk,2,12,,Lemon pledge.
Cold,8,8.25,Initio,Oud for Greatness ,5,8.2,,woody-spicy,Oud,4,2,,Layer with Psychedelic Love
Cold,10,8.25,Initio,Psychedelic Love,10,8.1,,sweet-floral,,4,,,Layer with Oud For Greatness
Cold,8,8.25,Initio,Rehab,10,8.3,,spicy-sweet,Spice,2,,,Smooth vanilla fall frag
Cold,8,8,Initio ,Side Effect,10,8.6,,sweet-spicy,Powder,3,7,,cinnamon rum and tobacco 
Hot,6,7.5,Jean Paul Gaultier,Le Beau Le Parfum,10,8,,sweet-fruity,Sweet,2,,Quentin Bisch,beach vibes Coconut pineapple
Cold,3,3,Jean Paul Gaultier,Le Male Elixir Parfum,1,8.3,,sweet-gourmand,Sweet,?,,Quentin Bisch,Too sweet
Cold,5,5,Jean Paul Gaultier,Le Male Le Parfum,10,8.4,,sweet-spicy,Sweet,?,,Quentin Bisch and Natalie Gracia-Cetto,
Cold,5,5,Jean Paul Gaultier,Scandal Le Parfum,2,7.7,,sweet-synthetic,Sweet,3,5,"Quentin Bisch, Natalie Gracia-Cetto and Christophe Raynaud.",sweet linear and boring
Cold,4,8.25,Jean Paul Gaultier,Ultra Male,10,7.9,,sweet-fruity,Sweet,?,3 low,Francis Kurkdjian,Skin scent in 90min very powdery
Cold,8,8.5,Jovoy,Psychedelique,10,8,,earthy-spicy,Patchouli,4,3,Jacques Flori,powdery amber vanilla and patchouli forward
Hot,12,5,Kenzo,Homme Intense,10,7.2,,aquatic-fresh,Aquatic,?,,Quentin Bisch,Brine salt peppery spice aquatic
Hot,8,6,Kenzo ,Homme Marine,10,7.7,,aquatic-fresh,Aquatic,?,,Quentin Bisch,
Any,,7.5,Lalique,Encre Noire Sport ,100,7.7,,woody-fresh,Fresh,,,Nathalie Lorson,
Cold,8,8,Lalique,Pour Homme Lion EDT (Creed BdP),100,7.3,,woody-spicy,Fougere,2,,Maurice Roucel,
Any,8,5,Lattafa,Sheikh Shuyukh Supreme (JPJ Scandal Pour Homme Absolu),100,8.2,,sweet-fresh,Feminine,?,,,
Hot,8,8,Lattafa ,Art Of The Universe (Ex Nihilo Blue Talisman),100,7.6,,fruity-fresh,Fruity,4,8,,
Hot,,0,Le Labo,Ambrette 9,1.5,6.3,Musk,fruity-fresh,Fresh,?,,Michel Almairac,
Hot,,0,Le Labo,Baie Rose 26,1.5,8,Rose,floral-spicy,Floral,?,,Frank Voelkl,
Hot,,0,Le Labo,Coriandre 39,1.5,7.8,Green,fresh-green,Fresh,?,,,
Hot,,0,Le Labo,Jasmine 17,1.5,7.2,Floral,floral-fresh,Floral,?,,Maurice Roucel,
Cold,,0,Le Labo,Mousse De Chene,1.5,8.1,Wood ,spicy-woody,Chypre,?,,Daphné Bugey,
Cold,,0,Le Labo,Patchouli 24,1.5,6.9,Leather,smoky-woody,Leather,?,,Annick Menardo,
Any,8,8,Le Labo,Santal 33,2,7.4,,woody-spicy,Wood,3,6,Frank Voelkl,Great cedar toned down with sandlewood with an interesting violet accord
Any,,7.5,Le Labo,The Noir 29,6.5,8.1,Wood,woody-spicy,Wood,?,,Frank Voelkl,
Cold,8,8.75,Louis Vuitton,Ambre Levant,10,7.9,,spicy-resinous,Oud,4,3,Jacques Cavallier Belletrud,slightly sweet oud and a little animalic
Hot,,0,Louis Vuitton,On The Beach,1,8,,fresh-citrusy,Fresh,,,Jacques Cavallier Belletrud,
Hot,5,7,Louis Vuitton ,City of Stars,0,7.9,,citrusy-floral,Feminine,3,5,Jacques Cavallier Belletrud,Very feminine 
Hot,,9,Louis Vuitton ,Imagination,5,8.9,,fresh-citrusy,Fresh,?,,Jacques Cavallier Belletrud,
Hot,6,8.5,Louis Vuitton ,L’immensite,30,8,,fresh-citrusy,Fresh,?,,Jacques Cavallier Belletrud,
Any,6,8,Louis Vuitton ,Lovers,0,7.5,,woody-green,Powder,3,5,Jacques Cavallier Belletrud and Camille Cavallier,Powdery fresh springtime scent
Hot,3,7,Louis Vuitton ,Météore,5,7.7,,fresh-citrusy,Fresh,2,,Jacques Cavallier Belletrud,powdery but feminine
Hot,,0,Louis Vuitton ,Pacific Chill,2,8.4,,fruity-fresh,Fresh,?,,Jacques Cavallier Belletrud,
Hot,5,8.5,Maison Alhambra,Victorioso  EDP (Paco Robane Invictu,105,8.1,,citrusy-fresh,Citrus,?,,,Fresh clean right out of the shower
Cold,6,5,Maison Martin Margiela,Autumn Vibes,5,6.8,,woody-spicy,Wood,3,,Fanny Bal,Too sweet and no woods
Cold,12,8.75,Maksim ,Oud Indochine,1,8.5,,woody-spicy,Oud,5,3,Maxim Bortnikov and Rajesh Balkrishnan,2 hours in a skin scent with 1 spray - chocolate honey tobacco not animalic
Any,2,5,Mancera,Cosmic Pepper,10,7.4,Citrus,fresh-citrusy,Fresh,?,,Pierre Montale,
Any,0,3,Mancera ,Instant Crush,5,7.9,Wood,sweet-floral,Sweet,0,,Pierre Montale,cant smell it 
Cold,6,8,Mancera ,Red Tobacco Intense,10,7.8,Leather,smoky-spicy,Tobacco,4,3,Pierre Montale,sweet leather tobacco 
Hot,8,8.5,Masion Frances Kurkdjian,Aqua Vitae Forte,5,7.6,,floral-fresh,Citrus,3,,Francis Kurkdjian,cirtrusy fresh balanced by powder and florals. 4 sprays max
Cold,8,9,Masion Frances Kurkdjian,Grand Soir,5,8.6,Amber,sweet-resinous,Amber,3,,Francis Kurkdjian,3 sprays. a little sweet but modern take on am amber
Any,3,7,Masion Frances Kurkdjian,Masculine Pluriel (grey),15,8.2,,fresh-fougèreartig,Fougere,2,7,Francis Kurkdjian,powdery sits close to skin
Cold,8,8,Masion Frances Kurkdjian,Oud Satin Mood Extrait,5,8.5,,floral-sweet,Floral,3,,Francis Kurkdjian,starts with rose but kicks in a beautiful vanilla and hour in woth 3 sprays. I sprays is 10 hours rose so use minimal
Hot,4,7.5,Masque Milano,Sleight of Fern,5,7.6,,green-spicy,Fougere,2,,Stephanie Bakouche,Dewey forest floor and moss bed
Cold,5,8.5,Matiere Premiere,Vanilla Powder Extrait,5,8.4,,sweet-creamy,Vanilla,5,4,Aurélien Guichard,realistic Madagascar vanilla and powdered sugar beautiful scent. the musk keeps it from becoming gourmond 
Any,6,9.5,MDCI,Invasion Barbare,10,8.1,,spicy-fougèreartig,Fougere,3,5,Stephanie Bakouche,
Hot,,8.75,Michael Malul,Oceanic Noir,100,8.6,Marine,fresh-aquatic,Fresh,6,4,,fresh citrusy 
Hot,,0,Mind Games,Blockade,2,8.2,,fresh-fruity,,,,Christelle Laprade,
Any,,0,Mind Games,Gambit,10,7.3,,spicy-fresh,,,,Carlos Viñals,
Any,,0,Mind Games,Queening,2,8,,sweet-creamy,,,,Christelle Laprade,
Any,6,8,Mith,Blue Wood,60,7.6,,woody-spicy,Wood,3,5,slightly sweet,
Any,4,8.25,Mith,Mystery for Him,180,8.1,,sweet-fruity,Fruity,4,3,,Aventus with a little more smoke and sweetness and better performance 
Any,12,8.25,Miyaz ,Iris Cacao Mysore Edition,1,8.8,,gourmond-woody,Oud,2,6,,wear out out house- linear interesting strong blend takes 3 hours to settle
Any,,0,Montagne,Amber Elixir (CC Amber Elixir),50,8,,sweet-woody,Sweet,?,,,
Any,8,9,Montagne,Imaginary (LV Imagination),55,8.8,,citrusy-fresh,Fresh,4,,,this bottle is nuclear
Hot,4,7,Montagne,Irish Verbena (Creed GIT),55,6,,n/a,,0,,,Nice scent but close to skin
Hot,6,9,Montagne,Meteorite (LV Meteor),50,9,,n/a,,6,5,,might make you noseblind
Cold,8,9,Montagne,Royal Aoud (Creed Royal Oud),100,8.25,,n/a,,?,,,
Hot,8,9,Montagne,Tyga Cologne (Bvlgari Tygar),52,8.9,,n/a,,?,,,
Cold,4,7.5,Montagne ,La Nuit 2011 (YSL La Nuit),50,8.8,,n/a,,1,,,smells nice but barely detectable
Cold,8,7,Montale,Vanilla Absolu,10,7.5,,sweet-gourmand,Feminine,3,3,,boring vanilla cupcake very feminine 
Hot,3,7,MontBlanc,Explorer Ultra Blue,10,6.5,,fresh-citrusy,Aquatic,3,5,,generic blue
Hot,,7,MontBlanc,Legend Spirit,10,7.5,,fresh-citrusy,,,,,
Any,8,6.5,Moshino ,Toy Boy,10,7.5,Rose,floral-spicy,Floral,?,,,Rose garden
Cold,,8,Narciso Rodriguez,Blue Noir Parfum,100,8,Powder,powdery-sweet,,?,,,Strong Powdery 
Cold,8,7,Narciso Rodriguez ,Narciso for Him EDT,10,7.4,,spicy-floral,Fougere,4,,,10 sprays for decent silliage
Cold,,0,Nasomatto,Pardon,2,8.2,,woody-spicy,,,,Alessandro Gualtieri,
Any,,0,Nicolai Parfumeur,New York Intense,100,8.3,"Top: Bergamot, Lemon, Thyme, Artemisia Heart: Clove, Cinnamon, Lavender, Chamomile Base: Tonka Bean Absolute, Styrax, Incense Resinoid, Musk      ",spicy-citrusy,Fougere,,,Patricia de Nicolaï,Compared to Creed BdP
Any,2,7,Nishane,B-612,5,8,,fougèreartig-woody,Fougere,0,,,
Hot,,0,Nishane,Hacivat,2,8.1,,fruity-fresh,,,,Jorge Lee,
Any,,0,Nishane,Hacivat Oud,2,7.9,,woody-spicy,,,,Dominique Ropion,
Cold,,0,Nishane,Papulofiko,10,7.9,,spicy-sweet,,?,,,
Hot,1,7.5,Ormonde Jayne,Montabaco Verano,10,8.1,,fresh-citrusy,,0,5,Geza Schoen,skin scent
Cold,,0,Orto Parisi,Brutus,2,7.9,,woody-spicy,,,,Alessandro Gualtieri,
Cold,2,7.5,Parfums de Marly,Carlisle ,5,8.4,Vanilla,spicy-sweet,,2,7,,3 sprays sits too close to skin. patchouli and vanilla drydown
Hot,8,8,Parfums de Marly,Castley,5,7.5,Spice,fresh-citrusy,,?,,,
Hot,6,7.75,Parfums de Marly,Greenly,5,7.8,,fresh-green,Fresh,3,4,Green apple and linear ,
Cold,8,8.25,Parfums de Marly,Haltane,15,8.2,,spicy-woody,,4,,,similar to oud for Greatness 
Cold,,8.25,Parfums de Marly,Herod,10,8.5,,sweet-spicy,,2,,,Tobacco- cherry pipe Tobacco masterfully blended
Cold,4,8.5,Parfums de Marly,Layton,5,8.6,Spice ,sweet-spicy,,2,,,needs retested with more than 3 sprays as 90min in its a skin scent
Cold,,0,Parfums De Marly,Layton Exclusif,2,8.3,,woody-spicy,,,,Hamid Merati-Kashani,
Cold,8,7.75,Parfums de Marly,Oajan ,5,8.5,,sweet-gourmand,,?,,,Cinnamon and honey bomb smells like a bakery
Hot,6,8,Parfums de Marly,Percival,5,7.9,Amber,fresh-spicy,,3,6,,Nice fresh and clean scent but doesnt project much
Hot,3,8.25,Parfums de Marly,Sedley,20,8.1,,fresh-citrusy,Fougere,2,,,Soapy like imagination
Hot,,0,Parfums De Marly,Valero,2,5.6,,fresh-sweet,,,,?,
Cold,6,7.5,Penhaligon,Helfati,5,8.1,,spicy-woody,,3,,,Too sweet. blended well and good performer 
Cold,4,9,Penhaligon,Sartorial,5,8,,fresh-spicy,Fougere,2,,,2 hours projection
Any,3,7.75,Penhaligon ,The Tragedy of Lord George EDP,2,8.1,,spicy-woody,,1,8,,no performance 
Hot,,0,Perfumehead,Alone Together,2,7.8,Citrus,?,,?,,,
Cold,,0,Perfumehead,Canadian Tuxedo,2,7.3,Wood,?,,?,,,
Cold,,0,Perfumehead,Cosmic Cowboy,2,8.4,Whiskey,powdery-spicy,,?,,,
Cold,,0,Perfumehead,La La Love,2,8,,?,,?,,,
Hot,,0,Perfumehead,Moon Flower,2,7.5,,?,,?,,,
Any,,0,Perfumehead,Reine des Anges,2,7.8,,?,,?,,,
Any,,0,Perfumehead,Room No,2,8.7,,?,,?,,,
Hot,,0,Perfumehead,Somewhere ,2,8,,?,,?,,,
Cold,,0,Perfumehead,Xanabound,2,7.5,,?,,?,,,
Any,8,7.5,Perito Moreno ,King's Empire,11,7.5,,woody-leathery,Leather,2,5,,not a fan of the ozonics
Cold,6,8.25,Polysnifferous,Amberish Uber Intense ,11,?,"core of TF Amber Absolute: olibanum, labdanum, vanilla, and sandalwood +real civet absolute, and a small dose of 1% skunk tincture",anamalic-amber,Animalic,4,3,Noah Drucker,Tom Ford Amber Absolu + Oud + Anamalics
Any,6,9.25,Polysnifferous,Aventish,50,9.1,"Top: Pineapple, Bergamot, Fruity Pebbles, Apple, Lemon, Pink Pepper Middle: Pineapple, Patchouli, Jasmine, Black Currant Base: Musk, Oakmoss, Ambroxan, Cedarwood, Ambergris, Birch Tar",,Fruit,4,4,Noah Drucker,nuclear for 4 hours 8 hours total 2.5hr pineapple
Any,,0,Polysnifferous,Aventish Blue,30,9.2,"Top: Bergamot, Lemon, Pink Pepper, Sea Salt, Watermelon, Spearmint Middle: Pineapple, Patchouli, Iris, Jasmine, Ylang Ylang, Coconut Base: Musk, Ambroxan, Ambergris, Oakmoss, Cedarwood, Sandalwood",fresh-citrusy,Blue,,,Noah Drucker,
Any,,0,Polysnifferous,Aventish Pink,1,?,"75% Aventish + bubble gum accord, white florals, passion fruit, and solar beachy tones",,Feminine,,,Noah Drucker,
Any,4,7.75,Polysnifferous,Aventish Red,11,8.6,"notes of grapefruit and cranberry. The black currant note is noticeably amped up. The base is supported with the addition of vanilla, smooth woods, and subtle suede",,Fruit,3,6,Noah Drucker,Fruity
Any,6,9,Polysnifferous,Brackish Man,50,8,"Top: Cloves, Cypress, Lavender, Nutmeg, Bay Leaf, Lemon and Bergamot Middle: Geranium, Cedar, Sandalwood and Cinnamon Base: Patchouli, Musk, Tobacco",spicy-clove-cinnamon-nutmeg,Fougere,2,5,Noah Drucker,"starts with the beloved clove-cinnamon-nutmeg spicy fougère profile, then adds a darker amber base and an aromatic tobacco note"
Any,4,8.5,Polysnifferous,Brackish Man Intense,13,10,"same description as Brackish Man, plus a vintage-style animalic accord reminiscent of Kouros",spicy-woody,Fougere,3,5,Noah Drucker,not much performance
Cold,8,7.75,Polysnifferous,Cherry Smoke Intense,5,?,,fruity-smoke,Fruity,4,4,Noah Drucker,smokey with bright cherry and slight animalic
Cold,8,8.5,Polysnifferous,Gentlemen,10,8.5,"Top Notes: Bergamot, Lemon, Grapefruit, Cherry, Pink Pepper Heart Notes: Tobacco, Leather, Cumin, Incense, Cypriol, Hay Base notes: Vanilla, Beeswax, Amber, Russian Leather, Cedar, Benzoin, Civet",spicy-citrus-leather-amber,Wood,2,,Noah Drucker,sits close to skin but excellent
Cold,4,9.25,Polysnifferous,Green Polish Intense,11,?,Vintage Polo Green fomula Green Kinam Oud Prachin Oud Kyara Oud (80 year old) Trat Oud Civet Castoreum Ambergris,,Fougere,4,4,Noah Drucker,
Any,6,9.25,Polysnifferous,Old Man Brackish,50,?,"Top Notes: Bitter Orange, Cloves, Cypress, Lavender, Nutmeg, Lemon and Bergamot Middle Notes: Geranium, Carnation, Pimento, Heliotrope, Jasmine, Cedar, Sandalwood and Cinnamon Base Notes: Benzoin, Vanilla, Tonka Bean, Patchouli, and Musk",,Fougere,3,6,Noah Drucker,75% brackish Man and 25% vintage old spice blend
Cold,4,8,Polysnifferous,The Queen,2,?,"Labdanum, Vanilla, Sandalwood, Cedarwood, Myrrh, Green Kinam Oud, Agarwood, Damask Rose, Bulgarian Rose, Frankincense, Elemi, Patchouli, Honey, Saffron",?,Feminine,4,6,Noah Drucker,built on Amberish Absolute added rose. its nice but too feminine
Any,,0,Polysnifferous,Tonico Miele,30,?,"Top Notes:Bergamot, Eucalyptus, Petitgrain, Cardamom, Black and Pink Pepper, Nutmeg, Aldehydes Middle Notes: Lavender, Neroli, Rose, Jasmine, Geranium, Heliotrope, Hyacinth, HoneybBase Notes: Oakmoss, Clary Sage, Davana, Musk, Sandalwood, Vetiver, Tonka Bean",,Fougere,,,Nitish Dixit and Noah Drucker.,
Cold,4,7.75,Polysnifferous,"You In Danger, Girl",2,?,"Dark Cherry, Cinnamon Candies, Bubblegum, Cotton Candy, Woods, Resins, White Musk",?,Feminine,3,6,Noah Drucker,Hubba Bubba for an hour and then a beastly animalic skin scent
Hot,4,7.5,Prada,Amber Pour Homme,10,7.9,,powdery-fresh,Amber,?,,,
Any,8,9,Prada,L'Homme EDT (PUIG),10,8.4,,powdery-fresh,Powder,?,,,
Cold,8,8.25,Prada,L'Homme Intense ,10,8.4,,powdery-sweet,Powder,2,5,,Iris- Long legs but no silliage and no powder. Dior Intense is much better
Hot,8,9.5,Prada,L'Homme L'eau (PUIG),110,8.2,,powdery-fresh,Powder,2,,,PUIG From Spain not France 
Cold,4,7.5,Prada,Luna Rossa Black,15,8.3,,sweet-powdery,Sweet,3,5,,very sweet with some musk and powder
Hot,3,7.5,Prada,Luna Rossa Carbon (PUIG),100,7.8,,fresh-synthetic,Fougere,2,,,
Hot,4,7,Prada,Luna Rossa Ocean EDT,1,7,,fresh-aquatic,Fougere,?,,,great but weak performance 
Any,3,4,Rabanna,Million Gold,1,6.9,,sweet-spicy,,?,,,Too sweet
Hot,5,7.5,Ralph Lauren,Polo 67 EDT,1,7.5,,fresh-aquatic,,?,,,Great fresh scent
Any,,0,Ralph Lauren,Polo Green Cosmair,5,7.8,,green-spicy,Fougere,,,,
Cold,6,3,Ralph Lauren ,Ralphs Club Elixir,5,7.9,,spicy-woody,,8,,,sweet
Any,3,9,Ralph Lauren ,Safari for Men Aftershave H65,100,7.8,,spicy-woody,Fougere,3,,,
Any,5,9,Ralph Lauren ,Safari for Men Cosmair 18E601,125,7.8,,spicy-woody,Fougere,3,,,
Any,5,9,Ralph Lauren ,Safari for Men Dec'23 SGXD0WU and H65,10,7.8,,spicy-woody,Fougere,3,,,
Cold,4,7.75,Ranger Station,Ernest 1992,2,?,,?,Fougere,2,6,?,classic blend. cedar and pine heavy
Any,8,8,Roger & Gallet ,Open EDT,100,7.9,,spicy-woody,Fougere,?,,,
Any,3,8,Rogue,Bon Monsieur EDT,10,8.4,,fougèreartig-green,Fougere,4,,,10/10 smell but projection is 2 hours tops
Any,4,8.25,Rogue,Mousse Iluminee,10,8.2,,green-spicy,Fougere,2,,,Light  green shaving cream
Hot,,8,Roja,A Midsummer Dream,10,8.2,,fresh-floral,,?,,,
Hot,,7.75,Roja,Burlington 1819,5,8.4,,citrusy-fresh,,?,,,cumin is strong 
Any,8,9.25,Roja,Danger PC,115,7.9,,spicy-floral,Fougere,3,,, spicy gathered shaving cream 
Any,2,5,Roja,Danger Pour Homme,5,8,,spicy-woody,Animalic,0,,,Animalic
Cold,,0,Roja,Diaghlev,2,8.4,,chypreartig-spicy,Wood,1,4,,close to skin but nice tame animalic fragrance
Cold,4,7,Roja,Enigma PC,10,8.4,,spicy-sweet,,2,8,,8 sprays 3 hour projection
Hot,1,6,Roja ,Elysium PC,10,8.4,,fresh-citrusy,Fougere,1,,,Smells nice and citrusy but doesn't last long
Hot,7,8.5,Roja ,Scandal PC,20,7.4,,spicy-fresh,Fougere,3,6,,Modern. minty green slightly powdery
Hot,,0,Scented Water,Aqua Odyssey ,100,?,"Top notes : Bergamot, Black Currant, Apple, Lemon and Pink Pepper - Middle notes : Pineapple, Patchouli and Moroccan Jasmine - Base notes : Birch, Musk, oak moss, Cedarwood and Ambroxan.",?,,,,,
Hot,,0,Scented Water,Black Myth (Boadicea Hanuman),100,8.6,"Top notes : Lemon, Bergamot, Orange Blossom and Black Currant - Middle notes : Osmanthus, Neroli, Magnolia and Cyclamen - Base notes : Vetiver, Cedar, Musk, Amber and Sandalwood.",floral-fresh,,,,,
Hot,,0,Scented Water,Blind Attempt,2,?,"Top notes : Grapefruit, Mojito, Citruses, Black Currant, Bergamot and Ginger - Middle notes : Magnolia, Pepper and Jasmine - Base notes : Ambergris, Vetiver, Musk, Sandalwood and Patchouli.",?,,,,,
